"Gene","Phenotype","Category"
"ABCB4","union#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","union#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","union#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","union#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCB4","union#K802#Calculus of gallbladder without cholecystitis","Chapter XI Diseases of the digestive system"
"ABCB4","union#K82#Other diseases of gallbladder","Chapter XI Diseases of the digestive system"
"ABCB4","union#K82#Other diseases of gallbladder","Chapter XI Diseases of the digestive system"
"ABCC6","union#Q828#Other specified congenital malformations of skin","Chapter XVII Congenital malformations deformations and chromosomal abnormalities"
"ABCG2","131859#Source of report of M10 gout","Chapter XIII Diseases of the musculoskeletal system and connective tissue"
"ABCG2","131859#Source of report of M10 gout","Chapter XIII Diseases of the musculoskeletal system and connective tissue"
"ABCG2","131859#Source of report of M10 gout","Chapter XIII Diseases of the musculoskeletal system and connective tissue"
"ABCG2","20002#1466#gout","Chapter XIII Diseases of the musculoskeletal system and connective tissue"
"ABCG2","20002#1466#gout","Chapter XIII Diseases of the musculoskeletal system and connective tissue"
"ABCG2","20002#1466#gout","Chapter XIII Diseases of the musculoskeletal system and connective tissue"
"ABCG2","union#M10#Gout","Chapter XIII Diseases of the musculoskeletal system and connective tissue"
"ABCG2","union#M109#Gout unspecified","Chapter XIII Diseases of the musculoskeletal system and connective tissue"
"ABCG2","union#M109#Gout unspecified","Chapter XIII Diseases of the musculoskeletal system and connective tissue"
"ABCG5","41202#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCG5","41202#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
"ABCG5","union#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas","Chapter XI Diseases of the digestive system"
"ABCG5","union#K80#Cholelithiasis","Chapter XI Diseases of the digestive system"
"ACTA2","41202#I71#Aortic aneurysm and dissection","Chapter IX Diseases of the circulatory system"
"ACTA2","41202#I71#Aortic aneurysm and dissection","Chapter IX Diseases of the circulatory system"
"ACTA2","41202#I710#Dissection of aorta [any part]","Chapter IX Diseases of the circulatory system"
"ACTA2","41202#I710#Dissection of aorta [any part]","Chapter IX Diseases of the circulatory system"
"ACTG1","union#Block H90-H95#H90-H95 Other disorders of ear","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Block H90-H95#H90-H95 Other disorders of ear","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Block H90-H95#H90-H95 Other disorders of ear","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Block H90-H95#H90-H95 Other disorders of ear","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Block H90-H95#H90-H95 Other disorders of ear","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Block H90-H95#H90-H95 Other disorders of ear","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Block H90-H95#H90-H95 Other disorders of ear","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Chapter VIII#Chapter VIII Diseases of the ear and mastoid process","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Chapter VIII#Chapter VIII Diseases of the ear and mastoid process","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Chapter VIII#Chapter VIII Diseases of the ear and mastoid process","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Chapter VIII#Chapter VIII Diseases of the ear and mastoid process","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Chapter VIII#Chapter VIII Diseases of the ear and mastoid process","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Chapter VIII#Chapter VIII Diseases of the ear and mastoid process","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#Chapter VIII#Chapter VIII Diseases of the ear and mastoid process","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#H905#Sensorineural hearing loss unspecified","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#H905#Sensorineural hearing loss unspecified","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#H905#Sensorineural hearing loss unspecified","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#H905#Sensorineural hearing loss unspecified","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#H905#Sensorineural hearing loss unspecified","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#H91#Other hearing loss","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#H91#Other hearing loss","Chapter VIII Diseases of the ear and mastoid process"
"ACTG1","union#H91#Other hearing loss","Chapter VIII Diseases of the ear and mastoid process"
"ACVRL1","131393#Source of report of I78 diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","131393#Source of report of I78 diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","131393#Source of report of I78 diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","131393#Source of report of I78 diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","131393#Source of report of I78 diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#Block I70-I79#I70-I79 Diseases of arteries| arterioles and capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#Block I70-I79#I70-I79 Diseases of arteries| arterioles and capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","41202#R040#Epistaxis","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ACVRL1","41202#R040#Epistaxis","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ACVRL1","union#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I78#Diseases of capillaries","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#I780#Hereditary haemorrhagic telangiectasia","Chapter IX Diseases of the circulatory system"
"ACVRL1","union#R040#Epistaxis","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ACVRL1","union#R040#Epistaxis","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ACVRL1","union#R040#Epistaxis","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ANGPTL3","130815#Source of report of E78 disorders of lipoprotein metabolism and other lipidaemias","Chapter IV Endocrine nutritional and metabolic diseases"
"ANGPTL3","130815#Source of report of E78 disorders of lipoprotein metabolism and other lipidaemias","Chapter IV Endocrine nutritional and metabolic diseases"
"ANGPTL3","20002#1473#high cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ANGPTL3","20002#1473#high cholesterol","Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified"
"ANGPTL3","union#E78#Disorders of lipoprotein metabolism and other lipidaemias","Chapter IV Endocrine nutritional and metabolic diseases"
"ANGPTL3","union#E78#Disorders of lipoprotein metabolism and other lipidaemias","Chapter IV Endocrine nutritional and metabolic diseases"
"ANGPTL3","union#E780#Pure hypercholesterolaemia","Chapter IV Endocrine nutritional and metabolic diseases"
"ANK1","130637#Source of report of D58 other hereditary haemolytic anaemias","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","130637#Source of report of D58 other hereditary haemolytic anaemias","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","130637#Source of report of D58 other hereditary haemolytic anaemias","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","130637#Source of report of D58 other hereditary haemolytic anaemias","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","20002#1451#hereditary|genetic haematological disorder","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","20002#1451#hereditary|genetic haematological disorder","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","20002#1451#hereditary|genetic haematological disorder","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","20002#1451#hereditary|genetic haematological disorder","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D58#Other hereditary haemolytic anaemias","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D58#Other hereditary haemolytic anaemias","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D58#Other hereditary haemolytic anaemias","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D58#Other hereditary haemolytic anaemias","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D580#Hereditary spherocytosis","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D580#Hereditary spherocytosis","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D580#Hereditary spherocytosis","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D580#Hereditary spherocytosis","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D759#Disease of blood and blood-forming organs unspecified","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D759#Disease of blood and blood-forming organs unspecified","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"ANK1","union#D759#Disease of blood and blood-forming organs unspecified","Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"APC","131603#Source of report of K31 other diseases of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","131603#Source of report of K31 other diseases of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","131649#Source of report of K63 other diseases of intestine","Chapter XI Diseases of the digestive system"
"APC","131649#Source of report of K63 other diseases of intestine","Chapter XI Diseases of the digestive system"
"APC","131691#Source of report of K91 postprocedural disorders of digestive system not elsewhere classified","Chapter XI Diseases of the digestive system"
"APC","131691#Source of report of K91 postprocedural disorders of digestive system not elsewhere classified","Chapter XI Diseases of the digestive system"
"APC","20001#1020#large bowel cancer|colorectal cancer","Chapter II Neoplasms"
"APC","20001#1020#large bowel cancer|colorectal cancer","Chapter II Neoplasms"
"APC","20001#1022#colon cancer|sigmoid cancer","Chapter II Neoplasms"
"APC","20001#1022#colon cancer|sigmoid cancer","Chapter II Neoplasms"
"APC","20002#1460#rectal or colon adenoma|polyps","Chapter XI Diseases of the digestive system"
"APC","20002#1460#rectal or colon adenoma|polyps","Chapter XI Diseases of the digestive system"
"APC","40006#Block C15-C26#C15-C26 Malignant neoplasms of digestive organs","Chapter II Neoplasms"
"APC","40006#Block C15-C26#C15-C26 Malignant neoplasms of digestive organs","Chapter II Neoplasms"
"APC","41202#Block D10-D36#D10-D36 Benign neoplasms","Chapter II Neoplasms"
"APC","41202#Block D10-D36#D10-D36 Benign neoplasms","Chapter II Neoplasms"
"APC","41202#Block Z00-Z13#Z00-Z13 Persons encountering health services for examination and investigation","Chapter XXI Factors influencing health status and contact with health services"
"APC","41202#Block Z00-Z13#Z00-Z13 Persons encountering health services for examination and investigation","Chapter XXI Factors influencing health status and contact with health services"
"APC","41202#ChapterII#Chapter II Neoplasms","Chapter II Neoplasms"
"APC","41202#ChapterII#Chapter II Neoplasms","Chapter II Neoplasms"
"APC","41202#ChapterXXI#Chapter XXI Factors influencing health status and contact with health services","Chapter XXI Factors influencing health status and contact with health services"
"APC","41202#ChapterXXI#Chapter XXI Factors influencing health status and contact with health services","Chapter XXI Factors influencing health status and contact with health services"
"APC","41202#D12#Benign neoplasm of colon rectum anus and anal canal","Chapter II Neoplasms"
"APC","41202#D12#Benign neoplasm of colon rectum anus and anal canal","Chapter II Neoplasms"
"APC","41202#D120#Benign neoplasm: Caecum","Chapter II Neoplasms"
"APC","41202#D120#Benign neoplasm: Caecum","Chapter II Neoplasms"
"APC","41202#D126#Benign neoplasm: Colon unspecified","Chapter II Neoplasms"
"APC","41202#D126#Benign neoplasm: Colon unspecified","Chapter II Neoplasms"
"APC","41202#D128#Benign neoplasm: Rectum","Chapter II Neoplasms"
"APC","41202#D128#Benign neoplasm: Rectum","Chapter II Neoplasms"
"APC","41202#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","41202#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","41202#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","41202#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","41202#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","41202#D131#Benign neoplasm: Stomach","Chapter II Neoplasms"
"APC","41202#D131#Benign neoplasm: Stomach","Chapter II Neoplasms"
"APC","41202#D131#Benign neoplasm: Stomach","Chapter II Neoplasms"
"APC","41202#D131#Benign neoplasm: Stomach","Chapter II Neoplasms"
"APC","41202#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","41202#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","41202#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","41202#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","41202#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","41202#D133#Benign neoplasm: Other and unspecified parts of small intestine","Chapter II Neoplasms"
"APC","41202#D133#Benign neoplasm: Other and unspecified parts of small intestine","Chapter II Neoplasms"
"APC","41202#K31#Other diseases of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","41202#K31#Other diseases of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","41202#K317#Polyp of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","41202#K317#Polyp of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","41202#K62#Other diseases of anus and rectum","Chapter XI Diseases of the digestive system"
"APC","41202#K62#Other diseases of anus and rectum","Chapter XI Diseases of the digestive system"
"APC","41202#K628#Other specified diseases of anus and rectum","Chapter XI Diseases of the digestive system"
"APC","41202#K628#Other specified diseases of anus and rectum","Chapter XI Diseases of the digestive system"
"APC","41202#K91#Postprocedural disorders of digestive system not elsewhere classified","Chapter XI Diseases of the digestive system"
"APC","41202#K91#Postprocedural disorders of digestive system not elsewhere classified","Chapter XI Diseases of the digestive system"
"APC","41202#K914#Colostomy and enterostomy malfunction","Chapter XI Diseases of the digestive system"
"APC","41202#K914#Colostomy and enterostomy malfunction","Chapter XI Diseases of the digestive system"
"APC","union#Block C15-C26#C15-C26 Malignant neoplasms of digestive organs","Chapter II Neoplasms"
"APC","union#Block C15-C26#C15-C26 Malignant neoplasms of digestive organs","Chapter II Neoplasms"
"APC","union#Block D10-D36#D10-D36 Benign neoplasms","Chapter II Neoplasms"
"APC","union#Block D10-D36#D10-D36 Benign neoplasms","Chapter II Neoplasms"
"APC","union#Block K65-K67#K65-K67 Diseases of peritoneum","Chapter XI Diseases of the digestive system"
"APC","union#Block K65-K67#K65-K67 Diseases of peritoneum","Chapter XI Diseases of the digestive system"
"APC","union#Block Z00-Z13#Z00-Z13 Persons encountering health services for examination and investigation","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Block Z00-Z13#Z00-Z13 Persons encountering health services for examination and investigation","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#C18#Malignant neoplasm of colon","Chapter II Neoplasms"
"APC","union#C18#Malignant neoplasm of colon","Chapter II Neoplasms"
"APC","union#C20#Malignant neoplasm of rectum","Chapter II Neoplasms"
"APC","union#C20#Malignant neoplasm of rectum","Chapter II Neoplasms"
"APC","union#C785#Secondary malignant neoplasm of large intestine and rectum","Chapter II Neoplasms"
"APC","union#C785#Secondary malignant neoplasm of large intestine and rectum","Chapter II Neoplasms"
"APC","union#C809#Malignant neoplasm primary site unspecified","Chapter II Neoplasms"
"APC","union#C809#Malignant neoplasm primary site unspecified","Chapter II Neoplasms"
"APC","union#Chapter II#Chapter II Neoplasms","Chapter II Neoplasms"
"APC","union#Chapter II#Chapter II Neoplasms","Chapter II Neoplasms"
"APC","union#D12#Benign neoplasm of colon rectum anus and anal canal","Chapter II Neoplasms"
"APC","union#D12#Benign neoplasm of colon rectum anus and anal canal","Chapter II Neoplasms"
"APC","union#D120#Benign neoplasm: Caecum","Chapter II Neoplasms"
"APC","union#D120#Benign neoplasm: Caecum","Chapter II Neoplasms"
"APC","union#D122#Benign neoplasm: Ascending colon","Chapter II Neoplasms"
"APC","union#D122#Benign neoplasm: Ascending colon","Chapter II Neoplasms"
"APC","union#D123#Benign neoplasm: Transverse colon","Chapter II Neoplasms"
"APC","union#D123#Benign neoplasm: Transverse colon","Chapter II Neoplasms"
"APC","union#D126#Benign neoplasm: Colon unspecified","Chapter II Neoplasms"
"APC","union#D126#Benign neoplasm: Colon unspecified","Chapter II Neoplasms"
"APC","union#D128#Benign neoplasm: Rectum","Chapter II Neoplasms"
"APC","union#D128#Benign neoplasm: Rectum","Chapter II Neoplasms"
"APC","union#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","union#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","union#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","union#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","union#D13#Benign neoplasm of other and ill-defined parts of digestive system","Chapter II Neoplasms"
"APC","union#D131#Benign neoplasm: Stomach","Chapter II Neoplasms"
"APC","union#D131#Benign neoplasm: Stomach","Chapter II Neoplasms"
"APC","union#D131#Benign neoplasm: Stomach","Chapter II Neoplasms"
"APC","union#D131#Benign neoplasm: Stomach","Chapter II Neoplasms"
"APC","union#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","union#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","union#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","union#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","union#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","union#D132#Benign neoplasm: Duodenum","Chapter II Neoplasms"
"APC","union#D133#Benign neoplasm: Other and unspecified parts of small intestine","Chapter II Neoplasms"
"APC","union#D133#Benign neoplasm: Other and unspecified parts of small intestine","Chapter II Neoplasms"
"APC","union#D133#Benign neoplasm: Other and unspecified parts of small intestine","Chapter II Neoplasms"
"APC","union#D133#Benign neoplasm: Other and unspecified parts of small intestine","Chapter II Neoplasms"
"APC","union#D37#Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs","Chapter II Neoplasms"
"APC","union#D37#Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs","Chapter II Neoplasms"
"APC","union#D372#Neoplasm of uncertain or unknown behaviour: Small intestine","Chapter II Neoplasms"
"APC","union#D372#Neoplasm of uncertain or unknown behaviour: Small intestine","Chapter II Neoplasms"
"APC","union#K31#Other diseases of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","union#K31#Other diseases of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","union#K317#Polyp of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","union#K317#Polyp of stomach and duodenum","Chapter XI Diseases of the digestive system"
"APC","union#K62#Other diseases of anus and rectum","Chapter XI Diseases of the digestive system"
"APC","union#K62#Other diseases of anus and rectum","Chapter XI Diseases of the digestive system"
"APC","union#K628#Other specified diseases of anus and rectum","Chapter XI Diseases of the digestive system"
"APC","union#K628#Other specified diseases of anus and rectum","Chapter XI Diseases of the digestive system"
"APC","union#K63#Other diseases of intestine","Chapter XI Diseases of the digestive system"
"APC","union#K63#Other diseases of intestine","Chapter XI Diseases of the digestive system"
"APC","union#K635#Polyp of colon","Chapter XI Diseases of the digestive system"
"APC","union#K635#Polyp of colon","Chapter XI Diseases of the digestive system"
"APC","union#K91#Postprocedural disorders of digestive system not elsewhere classified","Chapter XI Diseases of the digestive system"
"APC","union#K91#Postprocedural disorders of digestive system not elsewhere classified","Chapter XI Diseases of the digestive system"
"APC","union#K914#Colostomy and enterostomy malfunction","Chapter XI Diseases of the digestive system"
"APC","union#K914#Colostomy and enterostomy malfunction","Chapter XI Diseases of the digestive system"
"APC","union#Z09#Follow-up examination after treatment for conditions other than malignant neoplasms","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z09#Follow-up examination after treatment for conditions other than malignant neoplasms","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z090#Follow-up examination after surgery for other conditions","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z090#Follow-up examination after surgery for other conditions","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z837#Family history of diseases of the digestive system","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z837#Family history of diseases of the digestive system","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z84#Family history of other conditions","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z84#Family history of other conditions","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z848#Family history of other specified conditions","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z848#Family history of other specified conditions","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z848#Family history of other specified conditions","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z85#Personal history of malignant neoplasm","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z85#Personal history of malignant neoplasm","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z850#Personal history of malignant neoplasm of digestive organs","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z850#Personal history of malignant neoplasm of digestive organs","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z860#Personal history of other neoplasms","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z860#Personal history of other neoplasms","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z87#Personal history of other diseases and conditions","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z87#Personal history of other diseases and conditions","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z871#Personal history of diseases of the digestive system","Chapter XXI Factors influencing health status and contact with health services"
"APC","union#Z871#Personal history of diseases of the digestive system","Chapter XXI Factors influencing health status and contact with health services"
"APOB","130815#Source of report of E78 disorders of lipoprotein metabolism and other lipidaemias","Chapter IV Endocrine nutritional and metabolic diseases"
"APOB","130815#Source of report of E78 disorders of lipoprotein metabolism and other lipidaemias","Chapter IV Endocrine nutritional and metabolic diseases"
"APOB","130815#Source of report of E78 disorders of lipoprotein metabolism and other lipidaemias","Chapter IV Endocrine nutritional and metabolic diseases"
